title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
iBasic 无肩带、防滑、钢圈、水平罩杯文胸 PK069,Da Beige，34B,6.7,https://cf.shopee.vn/file/vn-11134207-81ztc-mmha7fivr37oee,http://shopee.vn/product/42591363/759420494,Women Clothes,Lingerie & Underwear,IVCN202605203115,177852845963 ,https://detail.1688.com/offer/850097332452.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/5/28,759420494,,,,Bras
iBasic 无肩带、防滑、钢圈、水平罩杯文胸 PK069,Da Beige，36B,6.7,https://cf.shopee.vn/file/vn-11134207-81ztc-mmha7fivr37oee,http://shopee.vn/product/42591363/759420494,Women Clothes,Lingerie & Underwear,IVCN202605203115,177852845964 ,https://detail.1688.com/offer/850097332452.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/5/28,759420494,,,,Bras
iBasic 钢圈文胸，3厘米厚衬垫罩杯，水平罩杯 BRAW163,米色，34B,16.3,https://cf.shopee.vn/file/vn-11134201-7ra0g-m6t4jwk5pp3sfc,http://shopee.vn/product/42591363/773445747,Women Clothes,Lingerie & Underwear,IVCN202605203117,5661122367 ,https://detail.1688.com/offer/899850809131.html?spm=a26352.b28411319.offerlist.22.41bd1e62UOOnmb,,2026/5/28,773445747,,,,Bras
iBasic 中等衬垫钢圈文胸 T恤日常款 BRAW130,米色，34B,12,https://cf.shopee.vn/file/vn-11134207-820l4-mjdm1m86pzwi41,http://shopee.vn/product/42591363/773445754,Women Clothes,Lingerie & Underwear,IVCN202605213611,5378405139 ,https://detail.1688.com/offer/733606580057.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i15&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/5/28,773445754,,,,Bras
iBasic 中等衬垫钢圈文胸 T恤日常款 BRAW130,米色，36B,12,https://cf.shopee.vn/file/vn-11134207-820l4-mjdm1m86pzwi41,http://shopee.vn/product/42591363/773445754,Women Clothes,Lingerie & Underwear,IVCN202605213611,5378405140 ,https://detail.1688.com/offer/733606580057.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i15&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/5/28,773445754,,,,Bras
iBasic 中等衬垫钢圈文胸 T恤日常款 BRAW130,米色，38B,12,https://cf.shopee.vn/file/vn-11134207-820l4-mjdm1m86pzwi41,http://shopee.vn/product/42591363/773445754,Women Clothes,Lingerie & Underwear,IVCN202605213611,5378405141 ,https://detail.1688.com/offer/733606580057.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i15&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/5/28,773445754,,,,Bras
iBasic 中等衬垫钢圈文胸 T恤日常款 BRAW130,牛奶肤色，36B,19.3,https://cf.shopee.vn/file/vn-11134207-81ztc-mk1wr6zvqmm950,http://shopee.vn/product/42591363/773445754,Women Clothes,Lingerie & Underwear,IVCN202605213611,435501027852 ,https://detail.1688.com/offer/1010979188283.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,2026/5/28,773445754,,,,Bras
iBasic 中等衬垫钢圈文胸 T恤日常款 BRAW130,裸粉色肌肤，34B,19.3,https://cf.shopee.vn/file/vn-11134207-81ztc-mkmho9ug311c11,http://shopee.vn/product/42591363/773445754,Women Clothes,Lingerie & Underwear,IVCN202605213611,445557231662 ,https://detail.1688.com/offer/1010979188283.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,2026/5/28,773445754,,,,Bras
支撑型文胸，隆胸后文胸，前拉链款，ICheer Comfort Cotton 型号，米色。,"M 27""-28""，米色",86,https://cf.shopee.co.th/file/th-11134207-7ra0r-mbumyn84wyakb2,http://shopee.co.th/product/10887587/1522262544,Women Clothes,Lingerie & Underwear,IVCN202605213615,270638257550 ,https://detail.1688.com/offer/692259197586.html?kj_agent_plugin=aliprice&fromkv=xytTrace:21360a2e17736331094014139e0ff9&token=OEA91Dw%2FdUzlzDy4blC2EJkpmCOTJoNkrE7DzXaMWzfeHtf9%2By5ly8l41tTv6WBJ,,2026/5/28,1522262544,,,,Bras
支撑型文胸，隆胸后文胸，前扣式，ICheer Power Net 型号，米色。,"M 27""-28""，米色",99.9,https://cf.shopee.co.th/file/th-11134207-7r98u-lz7lvfgyoubla1,http://shopee.co.th/product/10887587/1522330154,Women Clothes,Lingerie & Underwear,IVCN202605213619,258601512273 ,https://detail.1688.com/offer/674197039028.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/5/28,1522330154,,,,Bras
iBasic BRAW176 无钢圈加厚竹纤维文胸,米色皮革（1 件），34B,25,https://cf.shopee.vn/file/vn-11134207-81ztc-mmvkvk72k2kjdd,http://shopee.vn/product/42591363/1564221091,Women Clothes,Lingerie & Underwear,IVCN202605213621,277522781746 ,https://detail.1688.com/offer/520339754432.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=82a050cb5d9c17ec3945724a39bff708&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B1C614A38E13A38811F5E19A4F22F0A29BB68F4B7705CF25E3AC7D091A28ECBB1E348394BC3CC3C62B9992F8828C4BE8922FE548CFAF4AFC983AB993BCA8497C006F35E707AB9C36CDC80854D467AF0C7449FD611E244E1B5B054F7DF5623B8520D5A80DA0B4928DA1F94B66024090EF560AA6D640F7578C1FE8F203FCC8FEE9B8ADF5322AF5DDB48F%26cbu_cps_trace_flag%3Dwrite,,2026/5/28,1564221091,,,,Bras
