title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
HATOP 高级女士长袖衬衫，棉丝混纺面料，白色，版型优美，ASDT205,纯白-M,12.5,https://cf.shopee.vn/file/b6ede5b52177a4f542360c632acb426f,http://shopee.vn/product/174406987/2792576649,Women Clothes,Tops,IVCN202604010548,227208453185,https://detail.1688.com/offer/667994979626.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/4/1,2792576649,,,2,Shirts & Blouses
HATOP 高级女士长袖衬衫，棉丝混纺面料，白色，版型优美，ASDT205,纯白-L,13,https://cf.shopee.vn/file/b6ede5b52177a4f542360c632acb426f,http://shopee.vn/product/174406987/2792576649,Women Clothes,Tops,IVCN202604010548,227208453186,https://detail.1688.com/offer/873214116261.html?spm=a26352.b28411319/2508.0.0,,2026/4/1,2792576649,,,2,Shirts & Blouses
Uniform Studio LzyTex 女士长袖白衬衫：抗皱、防紫外线、柔软、轻便、凉爽。,白色的-M码（胸围36英寸）,18.9,https://cf.shopee.co.th/file/th-11134207-7rasb-m1qdy4z8cdmf13,http://shopee.co.th/product/155274128/3060605842,Women Clothes,Tops,IVCN202604010551,82667887944,https://detail.1688.com/offer/639893150988.html?fromkv=cbuPcPlugin:imageSearchDrawerTable&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/4/1,3060605842,,,3,Shirts & Blouses
Uniform Studio LzyTex 女士长袖白衬衫：抗皱、防紫外线、柔软、轻便、凉爽。,白色的-L码（胸围38英寸）,18.9,https://cf.shopee.co.th/file/th-11134207-7rasb-m1qdy4z8cdmf13,http://shopee.co.th/product/155274128/3060605842,Women Clothes,Tops,IVCN202604010551,82667887945,https://detail.1688.com/offer/639893150988.html?fromkv=cbuPcPlugin:imageSearchDrawerTable&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/4/1,3060605842,,,3,Shirts & Blouses
Uniform Studio LzyTex 女士长袖白衬衫：抗皱、防紫外线、柔软、轻便、凉爽。,白色的-XL（胸围 40 英寸）,13,https://cf.shopee.co.th/file/th-11134207-7rasb-m1qdy4z8cdmf13,http://shopee.co.th/product/155274128/3060605842,Women Clothes,Tops,IVCN202604010551,82667887946,https://detail.1688.com/offer/873214116261.html?spm=a26352.b28411319/2508.0.0,,2026/4/1,3060605842,,,3,Shirts & Blouses
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,深灰色达尔马提亚犬-均码,28,https://cf.shopee.co.th/file/th-11134201-7rasd-ma00bi0svoxa8a,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,181498367306,,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,回忆粉红-均码,29,https://cf.shopee.co.th/file/th-11134207-81zte-ml54kmudjzlt04,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,365577064834,https://detail.1688.com/offer/1028189321691.html?spm=a26352.b28411319/2508.0.0,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,回忆白-均码,29,https://cf.shopee.co.th/file/th-11134207-81ztg-ml54kxucjwn577,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,365577064835,https://detail.1688.com/offer/1028189321691.html?spm=a26352.b28411319/2508.0.0,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,执白-均码,29,https://cf.shopee.co.th/file/th-11134207-81ztm-ml54lg0p02yr86,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,365577064836,https://detail.1688.com/offer/1028189321691.html?spm=a26352.b28411319/2508.0.0,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,玩乐霜-均码,29,https://cf.shopee.co.th/file/th-11134207-81ztn-ml54lv9vyj2a8f,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,365577064837,https://detail.1688.com/offer/1028189321691.html?spm=a26352.b28411319/2508.0.0,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,游乐场奶油-均码,28,https://cf.shopee.co.th/file/th-11134201-7rasl-ma00bkl74gv4e0,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,181498367263,,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,黑法国斗牛犬-均码,28,https://cf.shopee.co.th/file/th-11134201-7rash-ma00bjlyjznze2,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,181498367282,,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,梦之队深灰色-均码,28,https://cf.shopee.co.th/file/th-11134207-81ztg-mi33wsu6oa9u10,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,262244064694,,,2026/4/1,4384438475,,,9,T-shirts
Stylist_shop | 动物/樱桃/蝴蝶结/错别字/永恒阳光系列宽松T恤，Stylist出品,灰胡萝卜-均码,28,https://cf.shopee.co.th/file/th-11134207-81ztn-mi35n2p9bwue6a,http://shopee.co.th/product/3246140/4384438475,Women Clothes,Tops,IVCN202604010555,262244064695,,,2026/4/1,4384438475,,,9,T-shirts
